tic_id,label,source_catalog,disposition,period_days,epoch_btjd,depth_ppm,duration_hours,tmag,notes
91961,eb,tess_ebs_villanova,EB,5.282624782288264,1602.8226998335715,,,12.392,morph=0.17515019
101462,eb,tess_ebs_villanova,EB,4.173981511271934,1413.823651625243,,,9.8313,morph=0.16643134
120016,eb,tess_ebs_villanova,EB,0.3263707518690648,1600.0786615958646,,,7.512,morph=0.8491125
627436,eb,tess_ebs_villanova,EB,0.5789057862422816,1438.2958480004145,,,11.7158,morph=0.8170643
737546,eb,tess_ebs_villanova,EB,3.067745211180005,1438.1352916872074,,,10.5401,morph=0.5675736
927579,eb,tess_ebs_villanova,EB,6.070557406048653,1516.2618093414712,,,13.1222,morph=0.33067125
1003831,planet,exofop_toi,CP,1.65114558034976,2458518.203428,3205.56714366171,0.949524728213898,10.6701,"TOI-564 b / TOI-564.01 [label conflict across sources: ['eb', 'planet']]"
1045298,eb,tess_ebs_villanova,EB,1.4634138874054945,1411.1444683007471,,,10.686,morph=0.64083165
1103432,eb,tess_ebs_villanova,EB,3.726048366266887,1518.1364750548723,,,12.8283,morph=0.3193605
1129033,planet,exofop_toi,KP,1.36002827981971,2459168.520849,19427.6944703414,2.16527507554805,9.62713,"WASP-77 A b [label conflict across sources: ['eb', 'planet']]"
1129452,eb,tess_ebs_villanova,EB,0.714017093784729,1411.497546966341,,,8.5415,morph=0.9876629
1133072,unknown,exofop_toi,FP,0.846542,2458517.531592,2524.567663,2.408837,12.625,"FP (possible blend, disposition=FP); Retired as NEB"
1167538,planet,exofop_toi,CP,0.0,2459168.988935,8735.0,8.291,10.0127,Single transit. Orbital period is likely > 30 days.
1190662,eb,tess_ebs_villanova,EB,0.887969129755938,1517.3712737740382,,,13.1743,morph=0.2813002
1202347,eb,tess_ebs_villanova,EB,4.150502462036625,1519.6569094374456,,,11.7278,morph=0.35350773
1220444,eb,tess_ebs_villanova,EB,7.162065599044558,1440.6344081176126,,,8.97342,morph=0.17296618
1230647,eb,tess_ebs_villanova,EB,1.1897402799655612,1517.5620692873667,,,9.07737,morph=0.5855434
1333933,planet,exofop_toi,KP,3.275794451851916,2460989.988472,11304.975041965992,2.391701027032049,13.9636,NGTS-15 b
1449640,eb,tess_ebs_villanova,EB,3.501794812080423,1440.4198955538182,,,11.921,morph=0.39555246
1449756,unknown,exofop_toi,FP,11.3543085,2459199.593066,2190.0,3.414,10.8256,"FP (possible blend, disposition=FP); slight depth-aperture correlation; could be on neighboring star"
1450518,eb,tess_ebs_villanova,EB,0.3337473920234986,1438.085616901191,,,11.2574,morph=0.6499378
1528696,planet,exofop_toi,CP,0.882062425827087,2458438.402842,11755.4509288482,0.575967222552898,13.1686,NGTS-6 b
1630438,eb,tess_ebs_villanova,EB,0.3905230804539529,1571.250525732968,,,9.893,morph=0.9888965
1630690,eb,tess_ebs_villanova,EB,0.4136605197528929,1571.173452482092,,,10.0492,morph=0.9653686
1950736,unknown,exofop_toi,FP,3.1129681,2460307.729373,585.0,2.308,10.0745,"FP (possible blend, disposition=FP); centroid offset to SW in QLP s71+s73; TFOP FP/NEB"
2020964,eb,tess_ebs_villanova,EB,2.942335911964016,1519.3024115515789,,,8.2918,morph=0.5587546
2234723,eb,tess_ebs_villanova,EB,2.462068999164688,1816.6456607470527,,,8.18778,morph=0.5936281
2236015,eb,tess_ebs_villanova,EB,4.134660388193502,1819.1712575410909,,,6.21412,morph=0.37343228
2353789,eb,tess_ebs_villanova,EB,1.871700004199874,1518.7637289440286,,,11.3832,morph=0.4248872999999999
2372579,eb,tess_ebs_villanova,EB,9.921097604307176,1664.78482165687,,,9.96237,morph=0.081996724
2595273,eb,tess_ebs_villanova,EB,2.1129221795233835,1817.1235064972368,,,11.3246,morph=0.4208230999999999
2621212,planet,exofop_toi,KP,0.0,2460777.441897,2116.7296697963466,3.0241238640637764,11.2309,one transit of K2-199 c at TBJD~3777.44; second event is an asteroid
2758565,eb,tess_ebs_villanova,EB,3.768547795319269,1359.372387816038,,,12.3611,morph=0.6575024
3034524,eb,tess_ebs_villanova,EB,0.3574713100273061,1816.367295900105,,,16.5078,morph=0.5558276
3311888,eb,tess_ebs_villanova,EB,4.0010397995656,1817.7735180159875,,,6.8911,morph=0.7202371999999999
3518009,starspot,vizier:J/AJ/164/137,rotator,5.026199817657471,,,,11.401000022888184,
3815360,eb,tess_ebs_villanova,EB,19.581046872350843,1378.7122109920872,,,8.5574,morph=0.060286984
3816260,eb,tess_ebs_villanova,EB,13.127870896995152,1390.527157289905,,,10.0949,morph=0.12151632
3921749,eb,tess_ebs_villanova,EB,5.611221217104586,1388.6756234981915,,,10.8462,morph=0.17541513
4070275,planet,exofop_toi,CP,5.42406914989545,2458439.340243,1766.85892964807,1.68750365400652,11.3993,weak signal
4112619,starspot,vizier:J/AJ/164/137,rotator,5.022600173950195,,,,14.529000282287598,
4164713,eb,tess_ebs_villanova,EB,0.2747867990972933,1842.9883833990511,,,7.491,morph=0.83209443
